ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:50,ptbxl,lp,0,swap67,V5<->V6,0.8894,0.6540,0.8907,0.6574,-0.13,-0.34,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap67,V5<->V6,0.8785,0.6390,0.8795,0.6412,-0.09,-0.22,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap67,V5<->V6,0.8834,0.6577,0.8842,0.6612,-0.08,-0.35,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap_roll,roll1,0.8083,0.5288,0.8907,0.6574,-8.25,-12.86,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap_roll,roll1,0.8105,0.5249,0.8795,0.6412,-6.90,-11.63,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap_roll,roll1,0.7985,0.5075,0.8842,0.6612,-8.56,-15.37,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:51,cpsc,lp,0,bw,0,0.9425,0.7580,0.9538,0.7856,-1.13,-2.76,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:51,cpsc,lp,2,bw,0,0.9425,0.7447,0.9512,0.7709,-0.87,-2.62,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,bw,0,0.9432,0.7500,0.9554,0.7904,-1.21,-4.05,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:51,cpsc,lp,0,bw,5,0.9504,0.7811,0.9538,0.7856,-0.34,-0.45,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:51,cpsc,lp,2,bw,5,0.9491,0.7674,0.9512,0.7709,-0.21,-0.35,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,bw,5,0.9515,0.7818,0.9554,0.7904,-0.39,-0.87,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:51,cpsc,lp,0,bw,10,0.9527,0.7838,0.9538,0.7856,-0.11,-0.19,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:51,cpsc,lp,2,bw,10,0.9507,0.7703,0.9512,0.7709,-0.05,-0.06,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,bw,10,0.9541,0.7870,0.9554,0.7904,-0.13,-0.35,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:51,cpsc,lp,0,bw,20,0.9537,0.7856,0.9538,0.7856,-0.01,-0.00,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
