ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:52,ptbxl,ft10,2,pl50,0,0.5408,0.2304,0.8706,0.6474,-32.98,-41.70,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl50,0,0.5333,0.2346,0.8679,0.6440,-33.46,-40.94,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl50,5,0.5823,0.2567,0.8706,0.6474,-28.84,-39.07,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl50,5,0.6038,0.2926,0.8679,0.6440,-26.41,-35.13,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl50,10,0.6020,0.2808,0.8706,0.6474,-26.86,-36.66,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl50,10,0.6467,0.3360,0.8679,0.6440,-22.13,-30.79,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl50,20,0.7849,0.5200,0.8706,0.6474,-8.57,-12.74,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl50,20,0.7736,0.5209,0.8679,0.6440,-9.43,-12.31,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl60,0,0.5758,0.2528,0.8706,0.6474,-29.49,-39.46,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl60,0,0.5337,0.2468,0.8679,0.6440,-33.42,-39.71,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl60,5,0.6632,0.3244,0.8706,0.6474,-20.74,-32.30,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl60,5,0.6016,0.2975,0.8679,0.6440,-26.63,-34.65,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,pl60,10,0.7020,0.3801,0.8706,0.6474,-16.86,-26.73,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,pl60,10,0.6801,0.3767,0.8679,0.6440,-18.79,-26.73,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,pl60,20,0.8155,0.5484,0.8706,0.6474,-5.51,-9.90,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,pl60,20,0.7867,0.5331,0.8679,0.6440,-8.12,-11.09,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_amp,0.8,0.8626,0.6372,0.8706,0.6474,-0.81,-1.02,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_amp,0.8,0.8591,0.6321,0.8679,0.6440,-0.88,-1.19,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_amp,0.6,0.8456,0.6168,0.8706,0.6474,-2.50,-3.06,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_amp,0.6,0.8436,0.6062,0.8679,0.6440,-2.43,-3.78,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_amp,0.4,0.8155,0.5610,0.8706,0.6474,-5.51,-8.64,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_amp,0.4,0.8066,0.5418,0.8679,0.6440,-6.13,-10.21,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_amp,0.2,0.7040,0.3930,0.8706,0.6474,-16.66,-25.44,1739,d9490c8,f39059a4430c,7d9a524cc38e
